Class,1 Hr Diff,2 Hr Diff,3 Hr Diff,4 Hr Diff,5 Hr Diff,6 Hr Diff,7 Hr Diff,7 Hr MA,Compound Score,Positive Score,Neutral Score,Negative Score
1,131.25,278.68999999999505,66.27999999999884,66.27999999999884,-287.0400000000009,-95.27000000000407,-981.1100000000006,43817.95571428568,0.9998,0.866,0.134,0.0
1,193.9600000000064,325.2100000000064,472.65000000000146,260.24000000000524,260.24000000000524,-93.07999999999447,98.69000000000233,43832.05428571425,0.9997,0.87,0.119,0.011
-1,-193.9600000000064,0.0,131.25,278.68999999999505,66.27999999999884,66.27999999999884,-287.0400000000009,43791.04857142853,0.9998,0.922,0.078,0.0
-1,-278.68999999999505,-472.65000000000146,-278.68999999999505,-147.43999999999505,0.0,-212.40999999999622,-212.40999999999622,43760.70428571425,0.9998,0.938,0.058,0.003
1,548.6800000000003,269.99000000000524,76.02999999999884,269.99000000000524,401.24000000000524,548.6800000000003,336.2700000000041,43808.742857142825,0.9998,0.879,0.121,0.0
-1,-61.900000000001455,486.77999999999884,208.09000000000378,14.12999999999738,208.09000000000378,339.3400000000038,486.77999999999884,43878.28285714282,0.9997,0.921,0.075,0.004
1,82.40999999999622,20.50999999999476,569.189999999995,290.5,96.5399999999936,290.5,421.75,43938.53285714282,0.9999,0.897,0.098,0.005
-1,-516.2899999999936,-433.8799999999974,-495.77999999999884,52.900000000001455,-225.7899999999936,-419.75,-225.7899999999936,43906.2771428571,0.9998,0.885,0.102,0.013
1,516.2899999999936,0.0,82.40999999999622,20.50999999999476,569.189999999995,290.5,96.5399999999936,43920.06857142853,0.9998,0.903,0.092,0.006
1,214.82000000000698,214.82000000000698,214.82000000000698,731.1100000000006,214.82000000000698,297.2300000000032,235.33000000000175,44076.499999999956,1.0,0.844,0.137,0.019
-1,-214.82000000000698,0.0,0.0,0.0,516.2899999999936,0.0,82.40999999999622,44088.27285714282,0.9999,0.876,0.117,0.007
1,177.95000000000437,-36.87000000000262,177.95000000000437,177.95000000000437,177.95000000000437,694.239999999998,177.95000000000437,44113.69428571425,0.9997,0.883,0.115,0.002
-1,-82.2300000000032,95.72000000000116,-119.10000000000582,95.72000000000116,95.72000000000116,95.72000000000116,612.0099999999948,44201.12428571425,0.9999,0.932,0.065,0.003
1,53.19000000000233,-29.040000000000873,148.9100000000035,-65.91000000000349,148.9100000000035,148.9100000000035,148.9100000000035,44222.39714285712,0.9999,0.829,0.171,0.0
-1,-420.3899999999994,-367.1999999999971,-449.4300000000003,-271.4799999999959,-486.3000000000029,-271.4799999999959,-271.4799999999959,44183.61428571426,0.9997,0.885,0.108,0.007
1,367.1999999999971,-53.19000000000233,0.0,-82.2300000000032,95.72000000000116,-119.10000000000582,95.72000000000116,44197.288571428544,0.9997,0.884,0.116,0.0
-1,-62.80999999999767,304.3899999999994,-116.0,-62.80999999999767,-145.04000000000087,32.91000000000349,-181.9100000000035,44171.301428571394,0.9999,0.676,0.321,0.003
-1,-990.1699999999983,-1052.979999999996,-685.7799999999988,-1106.1699999999983,-1052.979999999996,-1135.2099999999991,-957.2599999999948,44034.54999999997,0.9997,0.887,0.113,0.0
1,449.25,-540.9199999999983,-603.7299999999959,-236.52999999999884,-656.9199999999983,-603.7299999999959,-685.9599999999991,43936.555714285685,0.9998,0.915,0.085,0.0
-1,-368.2099999999991,81.04000000000087,-909.1299999999974,-971.939999999995,-604.739999999998,-1025.1299999999974,-971.939999999995,43797.707142857114,0.9998,0.882,0.115,0.003
1,298.7299999999959,-69.4800000000032,379.7699999999968,-610.4000000000015,-673.2099999999991,-306.01000000000204,-726.4000000000015,43693.93571428568,0.9997,0.924,0.076,0.0
